HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
7,68.36,81.27
8,195.82,208.62
9,306.98,323.58
10,403.38,405.62
11,445.47,452.85
12,425.58,438.65
13,344.82,376.65
14,272.17,276.55
15,145.66,148.38
16,28.48,28.15
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,80.19,82.4
8,204.2,206.77
9,332.62,325.08
10,406.38,408.75
11,475.59,472.58
12,468.23,461.23
13,407.01,403.65
14,304.4,301.8
15,172.95,171.12
16,39.3,36.23
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,74,76.2
8,151.47,170.1
9,243.61,253.9
10,295.04,311.73
11,293.05,386.62
12,289.59,361.48
13,248.44,293.58
14,176.03,195.9
15,87.85,96.08
16,26.34,21.62
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,6.12,3.42
7,53.62,60.73
8,128.69,166.85
9,219.08,276.45
10,295.66,364.83
11,366.59,446.67
12,360,437.95
13,325.79,385.4
14,252.45,288.65
15,157.12,164.85
16,38.73,37.88
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,8.22,5.35
7,98.8,98.48
8,241.98,237.75
9,363.86,356.25
10,447.1,440.73
11,490.8,487.02
12,480.73,477.73
13,424.35,418.2
14,314.37,313.25
15,176.68,178.8
16,44.7,42.62
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,8.63,6.2
7,92.46,94.65
8,228.13,229.25
9,342.09,342.15
10,416.64,424.45
11,441.62,476.6
12,374.18,459.95
13,336.34,394.92
14,241.34,290.08
15,150.73,165.02
16,35.06,41.25
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,7.86,7.67
7,84.58,109.15
8,206.45,252.5
9,333.65,376.38
10,450.95,467.48
11,402.58,509.9
12,424.45,505.62
13,348.79,449.1
14,277.59,347.48
15,157.37,210.12
16,44.87,62.4
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,10.31,10.25
7,82.17,122.08
8,168.85,265.9
9,279.8,386.5
10,335.22,470.1
11,354.83,472.17
12,366.88,463.98
13,323.74,406.5
14,237.15,305.67
15,155.46,182.95
16,40.78,51.45
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,12.92,10.83
7,124.07,122.8
8,274.66,267.88
9,369.84,389.98
10,444.34,475.98
11,471.47,494.98
12,499.98,495.08
13,438.16,432.35
14,335.64,329.15
15,205.02,200.62
16,63.49,61.27
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,13.96,13.27
7,102.79,132.45
8,172.09,278.9
9,233.2,403.15
10,300.11,487.38
11,288.09,490.25
12,344.7,474.42
13,315.34,409.67
14,271.19,306.1
15,175.34,172.25
16,55.69,53.77
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,16.41,13.2
7,131.18,128
8,276.72,269.08
9,397.29,390.52
10,482.77,474.33
11,535.01,528
12,520.38,513.3
13,450.06,443.25
14,342.54,335.58
15,208.09,203.15
16,68.22,65.92
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,15.77,13.15
7,87.45,107.08
8,185.69,226.55
9,279.15,332.92
10,319.41,407.48
11,428.62,425.98
12,418.09,412.98
13,363.69,355.62
14,268.69,262.73
15,152.5,148.35
16,50.56,48.85
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,12.69,13.88
7,12.95,105.5
8,23.62,240.45
9,52.56,366.85
10,86.88,457.85
11,93.68,502.23
12,91.49,495.52
13,97.02,440.02
14,78.98,341.48
15,51.86,209.85
16,30.88,75.67
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,27.27,23.75
7,151.99,162.52
8,292.32,315.05
9,398.55,441.58
10,499.82,528.45
11,542.86,570.9
12,556,559.12
13,491.45,498.35
14,397.7,393.3
15,254.42,252.58
16,101.3,101.42
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,32.82,29.38
7,158.4,175.3
8,303.97,330.38
9,412.03,456.73
10,484.6,541.95
11,495.96,568.58
12,524.59,555.92
13,453.41,497.05
14,372.82,391.85
15,239.3,252.05
16,89.9,103.48
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,33.64,32.4
7,143.39,179.05
8,261.76,329.75
9,362.48,455.55
10,445.33,541.4
11,370.47,535.85
12,405.48,522.15
13,359.24,461.8
14,293.38,363
15,200.29,231.48
16,76.2,93.83
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,15.86,32.83
7,44.19,174.5
8,109.08,319.27
9,162.84,439.95
10,210.82,523.42
11,211.88,549.12
12,268.24,534.52
13,207.09,478.15
14,158.17,370.55
15,103.27,229.92
16,35.27,84.23
17,6.79,3.67
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,20.4,30.27
7,50.34,162.33
8,80.24,307.65
9,137.82,434.4
10,125.6,519.42
11,140.59,553.67
12,139.44,547.12
13,123.62,487.98
14,98.48,383.8
15,66.67,246.3
16,19.55,97.1
17,6.8,4.7
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,23.61,34.83
7,120.26,167.12
8,156.8,306.45
9,249.97,423.52
10,274.69,503.88
11,280.96,529.95
12,264.91,496.23
13,212.99,417.83
14,168.55,313.2
15,115.52,189.27
16,26.06,70.25
17,5.98,4.15
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,28.31,37.7
7,93.15,168.23
8,177.84,306.4
9,257.34,431.67
10,315.38,518.58
11,305.69,570.27
12,309.22,555.62
13,276.74,491.85
14,204.63,377.15
15,144.79,241.8
16,49.1,94.45
17,7.61,5.98
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,39.33,46.98
7,130.19,193.6
8,227.41,338.55
9,297.74,453.85
10,338.56,532.7
11,273.3,569.23
12,312.06,557.92
13,205.1,494.5
14,167.34,383.08
15,97.79,247.17
16,39.54,104.7
17,6.31,7.23
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,24.3,47.8
7,85.22,183.58
8,173.56,328.77
9,251.42,456.83
10,263.73,543.55
11,355.12,593.7
12,280.65,581.77
13,288.98,519.38
14,222.06,406.42
15,139.52,264.85
16,51.73,111.65
17,8.62,8.45
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,41.35,57.55
7,80.88,206.42
8,135.04,353.35
9,187.76,476.62
10,250.24,559.3
11,309.88,592.83
12,333.88,582.33
13,303.26,519.52
14,230.02,412.6
15,163.38,268.52
16,71.6,114.62
17,10.43,9.08
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,45.18,63.95
7,164.2,221.2
8,204.91,376.27
9,273.09,502.1
10,325.02,587.33
11,359.16,620.12
12,359.82,607.42
13,331.25,545.02
14,266.28,437.9
15,195.48,296.38
16,87.49,136.95
17,13.51,12.62
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,39.03,71.02
7,128.59,222.67
8,204.27,372.15
9,286.77,493.6
10,388.09,572.15
11,362.77,587.2
12,376.04,577.1
13,315.89,521.7
14,243.96,417.17
15,161.72,278.08
16,61.85,125.33
17,11.31,11.67
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,55.86,80.17
7,101.95,235.83
8,182.41,389.9
9,246.27,517.27
10,299.84,603.55
11,313.89,627.27
12,317.48,616.27
13,279.93,553.95
14,232.2,446.62
15,157.01,304.12
16,71.2,144.27
17,15,15.3
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,36.06,87.55
7,101.29,242.95
8,174.82,396
9,252.43,517.23
10,306.49,598.35
11,314.63,635.88
12,287.99,619.08
13,236.05,553.67
14,183.56,445.02
15,120.05,302.62
16,54.23,144.2
17,9.27,16.3
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,88.48,88.52
7,239.34,245.83
8,406.11,404.38
9,525.34,530.17
10,562.48,614.25
11,591.14,646.8
12,587.9,631.52
13,401.26,565.12
14,335.59,454.5
15,227.19,309.55
16,112.76,148.12
17,19.36,17.45
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,81.55,93.48
7,225.02,243.5
8,337.39,391.38
9,450.19,513.62
10,531.24,595.88
11,586.95,640.7
12,559.6,627.8
13,462.91,564.55
14,374.16,455.98
15,251.11,313.17
16,118.8,152.12
17,16,19.38
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,47.4,111.42
7,64.55,264.33
8,117.1,422.4
9,185.58,550.05
10,290.8,634.98
11,343.5,671.17
12,334.3,654.42
13,295.66,585.58
14,218.64,472.45
15,148.91,325.45
16,79.52,164.02
17,15.78,23.23
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,7.3,4.88
6,50.46,103.38
7,174.39,265.42
8,301.69,419.1
9,293.15,543.05
10,266.95,627.35
11,207.2,642.98
12,189.05,629.62
13,181.91,564.42
14,149.94,454.8
15,101.02,309.8
16,44.69,153.38
17,18.82,22.45
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,6.19,4.85
6,68.71,85.67
7,168.55,228.25
8,288.77,376.1
9,407.84,499.5
10,494.21,582.9
11,423.09,594.9
12,355.84,586.75
13,312.83,523.2
14,242.85,417.62
15,158.27,277.77
16,102.75,134.2
17,21.57,20
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,8.84,6.42
6,107.89,108.02
7,271.7,264.88
8,424.81,418.27
9,548.9,542.3
10,630.5,624.62
11,635.05,634.17
12,610.26,615.85
13,538.27,549.33
14,413.35,440.23
15,268.68,299.3
16,133.16,147.42
17,26.3,23.17
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,8.23,7.05
6,64.09,99.17
7,167.99,252.23
8,289.09,403.52
9,369.16,525.95
10,517.27,592.92
11,514.59,626.45
12,424.37,608.2
13,353.14,544.95
14,213.44,447.52
15,122.18,316.2
16,56.8,160.98
17,23.92,27.83
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,11.24,9.05
6,111.02,113.35
7,258.7,275.48
8,418.23,428.35
9,558.2,554.15
10,503.32,637.58
11,541.58,651.15
12,446.27,625.9
13,428.59,552.2
14,315.31,437.05
15,207.36,292.48
16,118.29,142.9
17,26.12,24.62
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,11.24,10.58
6,73.02,120.45
7,143.05,287.2
8,243.2,448.05
9,297.41,573.9
10,413.8,657.02
11,465.3,679.3
12,453.27,668
13,443.34,610.05
14,386.04,501.25
15,274.58,356.65
16,149.12,192.62
17,39.27,39.38
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,11.15,11.75
6,80.66,118.8
7,195.91,273.55
8,281.62,419.6
9,403.57,543.95
10,490.74,627.58
11,448.34,638.9
12,390.72,632.83
13,280.49,573.25
14,187.15,460.4
15,123.62,317.35
16,56.08,158.88
17,20.45,29.33
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,17.77,14.5
6,130.05,136.58
7,279.32,298.33
8,440.14,450.77
9,567.33,575.27
10,661.41,659.38
11,699.1,695.65
12,683,679.27
13,616.19,612.92
14,503.78,502.6
15,356.91,357.65
16,191.72,194.2
17,43.7,42.7
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,22.98,19.42
6,163.45,158.92
7,334.12,328.02
8,484.85,481.95
9,605.47,604.15
10,691.37,687.67
11,716.24,712.5
12,696.38,693.25
13,625.48,623.02
14,514.1,509.05
15,366.42,361.65
16,199.39,196.15
17,46.02,44.45
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,22.98,19.05
6,152.52,148.65
7,318.89,313.3
8,471.61,464.98
9,590.41,585.77
10,669.73,665.27
11,695.11,692.08
12,674.76,670.9
13,601.97,601.12
14,486.52,488.02
15,340.52,342.08
16,182.81,181.95
17,44.59,41.48
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
